gene_id,SMC-F-E1_S1,SMC-F-E2_S2,SMC-F-E3_S3,SMC-G-E1_S5,SMC-G-E2_S6,SMC-G-E3_S7,t_statistic,p_value,log2_fold_change,mean_flight,mean_ground,fdr_bh
ENSG00000144840,8.558430283038884,8.539008159189715,8.50309411724159,10.239596800486238,10.209375937276743,10.163420897924457,-60.87391263535246,1.2125733692115504e-06,-1.6706203587390824,8.533510853156729,10.204131211895811,0.009958117179204936
ENSG00000162733,12.418203925178323,12.34878495767884,12.448670181212517,14.369513182103782,14.449242719150629,14.488943426005278,-44.242450885541956,2.1227811662117967e-06,-2.0306800877300013,12.405219688023228,14.43589977575323,0.009958117179204936
ENSG00000147677,13.860689975765148,13.798173139865206,13.840281296350966,12.6724517452633,12.600143652866414,12.623924162963654,42.68491143749544,2.238396320191071e-06,1.200874950295983,13.833048137327106,12.632173187031123,0.009958117179204936
ENSG00000197632,11.54733090818478,11.24209552505192,11.337440092044657,16.746790995244666,16.67368880252173,16.5064265027005,-45.85899344805016,2.3827909903206443e-06,-5.266679925061846,11.375622175093786,16.642302100155632,0.009958117179204936
ENSG00000185420,9.433288002573327,9.440453123751094,9.326981496338572,12.10363950734957,12.056974976767894,12.020916943003796,-60.721729136485656,2.43843114610565e-06,-2.660269601486087,9.400240874220998,12.060510475707085,0.009958117179204936
ENSG00000133169,8.095823603535706,7.904227953704526,8.207611320814166,12.884919666125562,13.019418337469174,13.131579902503125,-43.466284304629404,2.6859385513701786e-06,-4.942751676014488,8.069220959351467,13.011972635365955,0.009958117179204936
ENSG00000124762,14.242762727323043,14.29468726725331,14.222663822900325,17.33332755445967,17.226886577360972,17.34845456265011,-69.5302775287704,4.048147720109225e-06,-3.049518292331358,14.253371272492226,17.302889564823584,0.01030180936317929
ENSG00000124191,10.393558771025921,10.401846534826124,10.473861360492155,9.056546276381258,8.954325857083056,9.017341238960034,36.06285979195035,4.451278469806028e-06,1.413684431306617,10.423088888781399,9.009404457474782,0.01030180936317929
ENSG00000166897,3.8693849793665085,3.8143594667048313,4.083207109164005,7.675503434279465,7.7135667863001816,7.904302175962239,-35.46973560035103,4.6444769395517315e-06,-3.8421402804355145,3.922317185078448,7.764457465513963,0.01030180936317929
ENSG00000143761,14.69051760151622,14.698702595305999,14.66829928922569,15.15441579912344,15.119015251600318,15.130303077300255,-32.42692661824071,6.460642928260903e-06,-0.4487382139920335,14.685839828682637,15.13457804267467,0.01030180936317929
ENSG00000289314,5.382134584355312,5.377373370100574,5.551433203723743,2.8862369666169005,2.7535826511161825,2.962969511775085,30.672373874289907,7.0113423836857835e-06,2.5693840095571536,5.436980386059877,2.867596376502723,0.01030180936317929
ENSG00000089063,11.364752687373263,11.43006552807994,11.424109825642393,12.266991762041847,12.203601345552759,12.253482494414506,-29.40779796772114,8.419975282914228e-06,-0.8350491869711707,11.406309347031865,12.241358534003036,0.01030180936317929
ENSG00000267279,6.9996380894493155,6.845793373237139,6.905836836601885,9.187724561924155,9.066151299810533,9.003653447819113,-30.905150410749506,8.9601757235913e-06,-2.1687536700884875,6.9170894330961135,9.085843103184601,0.01030180936317929
ENSG00000271254,9.965972098340414,10.03623206939924,9.910355664885007,8.546223009591488,8.477322171785264,8.413312447868392,28.198663890255375,9.645424008104015e-06,1.491900734459838,9.970853277541554,8.478952543081716,0.01030180936317929
ENSG00000134690,6.941410499675462,7.07352769051078,6.876984588955369,4.6186568528968985,4.402738933460256,4.550045137705972,28.359683662949024,9.99403003083693e-06,2.4401606183594957,6.963974259713871,4.5238136413543755,0.01030180936317929
ENSG00000182379,10.063069267424064,10.130236127032346,10.156166793875531,9.105131313320868,9.042740911501813,9.021501033584833,28.3369527258452,1.0092076176134574e-05,1.0600329766414749,10.11649072944398,9.056457752802505,0.01030180936317929
ENSG00000139289,14.679575707676028,14.60952129465176,14.515090263093798,16.468420380583503,16.318502461450347,16.390898793518144,-27.822410182507415,1.0775829260682831e-05,-1.7912114567101352,14.601395755140528,16.392607211850663,0.01030180936317929
ENSG00000246705,10.047209495898558,10.178421678866407,10.098922781136215,12.52661361774943,12.45856426186104,12.504713726403303,-55.40470660292499,1.1926423584696365e-05,-2.3884458833708635,10.10818465196706,12.496630535337923,0.01030180936317929
ENSG00000149968,5.8155030599553,5.123113727342964,5.318748159805725,12.848946593533931,13.310190161963707,13.587795262445262,-26.26091304316025,1.2713300019654108e-05,-7.829855690279637,5.419121649034662,13.2489773393143,0.01030180936317929
ENSG00000175061,14.786949496225823,14.882593927456904,14.916782359543973,13.349363430305544,13.457901229680383,13.474016112585016,26.019193952075067,1.2969365304260188e-05,1.4350150035519214,14.8621085944089,13.427093590856979,0.01030180936317929
ENSG00000212743,6.2651731690584755,6.356202407350657,6.550629908924404,3.072139826632608,3.207356420901818,3.3760496719512303,26.06143884011602,1.3091220388842506e-05,3.1721531886159595,6.3906684951111785,3.218515306495219,0.01030180936317929
ENSG00000147509,7.870486819096149,8.030368178900455,8.03594176605466,9.846808808810565,9.890172541546251,10.011818042370976,-26.40802782690031,1.3188380233457423e-05,-1.9373342095588413,7.978932254683755,9.916266464242597,0.01030180936317929
ENSG00000075218,7.296667409701055,7.445777670894458,7.358291873640909,4.79190157481493,4.792219992616511,4.600733499201259,34.23972621644815,1.4385854592589755e-05,2.6386272958679067,7.366912318078807,4.7282850222109,0.01030180936317929
ENSG00000225339,5.771835103643632,5.73833915928134,5.8787464830173715,7.908084474588924,7.765389054518004,7.951078670006434,-29.566812438304133,1.4969754371966842e-05,-2.0785438177236735,5.796306915314115,7.874850733037788,0.01030180936317929
ENSG00000185274,0.0,0.0,0.0,5.106736485463095,5.059606890217439,5.04066229077921,-258.0444802772002,1.5017618565478697e-05,-5.069001888819915,0.0,5.069001888819915,0.01030180936317929
